album,artist,release_date,popularity,danceability,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,Country
Old Town Road,Lil Nas X,2019-03-14,77,0.908,0.908,0.517,1.73e-06,0.0949,-6.063,0.129,136.019,USA
Sucker,Jonas Brothers,2019-03-01,98,0.842,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,USA
Championships,Meek Mill,2018-11-30,95,0.889,0.889,0.496,0.0,0.252,-6.365,0.0905,86.003,USA
Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,93,0.581,0.581,0.662,0.0,0.111,-5.239,0.303,93.023,USA
"thank u, next",Ariana Grande,2019-02-08,100,0.726,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,USA
Death Race For Love,Juice WRLD,2019-03-08,89,0.685,0.685,0.692,0.0,0.153,-5.122,0.0457,159.966,USA
We All Shine,YNW Melly,2019-01-18,90,0.661,0.661,0.44,0.0,0.128,-9.104,0.0803,149.937,USA
Famous Cryp,Blueface,2018-12-18,93,0.906,0.906,0.382,0.0,0.113,-12.89,0.269,104.025,USA
Pure Water (with Migos),Mustard,2019-01-16,92,0.68,0.68,0.559,0.0,0.318,-5.545,0.129,202.006,USA
i am > i was,21 Savage,2018-12-21,93,0.837,0.837,0.636,0.00125,0.342,-7.643,0.086,145.972,USA
Drip Harder,Lil Baby,2018-10-05,92,0.896,0.896,0.671,0.0,0.552,-6.977,0.289,112.502,USA
ASTROWORLD,Travis Scott,2018-08-03,94,0.834,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,USA
"thank u, next",Ariana Grande,2019-02-08,93,0.717,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,USA
Here With Me,Marshmello,2019-03-08,90,0.791,0.791,0.565,0.0,0.156,-3.933,0.0439,99.961,USA
Confessions of a Dangerous Mind,Logic,2019-03-22,72,0.796,0.796,0.756,0.0,0.0926,-4.17,0.226,141.959,USA
